record_type,product_id,brand,name,code,product_quantity,street_price,suggested_price,price_novat,plain_description,weight,picture 1,picture 2,picture 3,madein,Firme,heel,lenght,mainmaterial,Categorie,Produzione,Sottocategorie,Promo,Discount Percentage,season,color,Warehouse2,bicolors,Genere,productname,model_id,barcode,model_size,model_quantity
MODEL,93707," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268559,5400552322929,M,6
MODEL,93707," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268560,5400552322912,L,8
MODEL,93707," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",283598,5400552322943,XL,4
PRODUCT,93706,Napapijri,RAINFOREST_N0YGNL,RAINFOREST_N0YGNL041,49,239.00,189.00,105.00,,3.00,https://www.brandsdistribution.com/prod/stock_product_image_93706_1081037668.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93706_1784358657.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93706_1334816000.jpg,Cambodia,Napapijri," "," "," ",clothing," ",Giacca," "," ",fw,black," ",black,men," "," "," "," "," "
MODEL,93706," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268554,5400552322868,S,8
MODEL,93706," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268555,5400552322851,M,17
MODEL,93706," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268556,5400552322844,L,17
MODEL,93706," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",274323,5400552322875,XL,7
PRODUCT,93698,Timberland,PREMIUM-BOOT,PREMIUM-BOOT-0A1QY1A58_GRAPE,9,220.00,198.00,105.00,,3.00,https://www.brandsdistribution.com/prod/stock_product_image_93698_1334296482.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93698_956503710.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93698_770320517.jpg,Dominican Republic,Timberland," "," ",leather,shoes," ",Stivaletto," "," ",fw,green," ",darkgreen,men," "," "," "," "," "
MODEL,93698," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268536,191930585658,EU 41,6
MODEL,93698," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268538,191930586198,EU 43,2
MODEL,93698," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",275044,191930587270,EU 46,1
PRODUCT,93697,Timberland,PREMIUM-BOOT,PREMIUM-BOOT_BLACK,6,220.00,198.00,105.00,,3.00,https://www.brandsdistribution.com/prod/stock_product_image_93697_643004737.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93697_1675705029.jpg,https://www.brandsdistribution.com/prod/stock_product_image_93697_956847113.jpg,Dominican Republic,Timberland," "," ",leather,shoes," ",Stivaletto," "," ",fw,black," ",black,men," "," "," "," "," "
MODEL,93697," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268532,191931525233,EU 42,2
MODEL,93697," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268533,191931525394,EU 43,2
MODEL,93697," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",268535,191931525981,EU 45,1
